customer_id,age,gender,recency,frequency,monetary,group,purchase
1,22,female,320.0,15.0,66.30399404083795,B,False
2,58,male,23.0,13.0,54.62426023020134,A,True
3,52,male,145.0,18.0,101.8788192786608,B,False
4,40,female,167.0,19.0,96.90021727799683,B,False
5,40,M,-1.0,14.0,138.00321193260314,B,False
6,62,female,47.0,8.0,237.46336785395968,B,False
7,22,female,158.0,12.0,155.48640697172544,B,False
8,54,male,56.0,9.0,292.09938250252725,A,False
9,28,male,287.0,12.0,130.12489390553034,B,False
10,22,male,231.0,16.0,-495.6520055875468,A,False
11,45,F,181.0,8.0,287.1197587504359,A,False
12,68,female,144.0,10.0,196.3195242123607,B,True
13,56,M,56.0,1.0,238.048175960005,B,False
14,57,F,336.0,14.0,104.2780368680588,A,False
15,55,male,236.0,10.0,136.19740756004205,B,False
16,58,female,117.0,9.0,131.97493567088563,A,False
17,44,F,151.0,11.0,85.94451622042881,A,False
18,24,F,265.0,5.0,45.514992293020775,A,False
19,61,M,-1.0,12.0,247.44541572836562,B,False
20,41,M,168.0,15.0,324.9008754780478,A,False
21,44,M,111.0,7.0,222.57030517175997,A,False
22,37,M,241.0,3.0,155.12601952887834,B,False
23,27,female,240.0,8.0,647.0694078983885,A,False
24,66,female,219.0,4.0,94.63497150048077,B,False
25,58,female,27.0,8.0,201.3411178839417,A,False
26,51,M,173.0,12.0,357.6769039295575,A,False
27,38,M,224.0,3.0,60.451562585896134,B,False
28,60,F,346.0,15.0,261.19271601217304,A,False
29,46,male,192.0,5.0,517.4823316818334,A,False
30,41,F,125.0,17.0,165.35381611773647,A,False
31,41,F,203.0,14.0,188.0893784704135,A,False
32,29,M,65.0,6.0,95.12958015110455,A,False
33,22,male,34.0,11.0,236.07811093979518,A,False
34,46,F,247.0,3.0,84.06808683873629,B,False
35,64,M,359.0,2.0,157.81710229173186,A,False
36,21,male,308.0,19.0,39.71742891287528,A,False
37,62,female,213.0,16.0,5.891771890704053,A,False
38,61,M,15.0,3.0,112.25170092211386,B,False
39,32,F,360.0,6.0,110.73248572570664,B,False
40,50,female,164.0,4.0,120.4972723696913,B,False
41,26,male,106.0,8.0,281.0371480933346,A,False
42,57,female,325.0,6.0,331.26473138811934,B,False
43,54,F,272.0,7.0,207.66461687199126,A,False
44,36,F,273.0,11.0,267.22372123808873,B,False
45,21,male,102.0,4.0,86.25851804002433,A,False
46,68,M,362.0,17.0,68.43490313788195,A,False
47,41,M,165.0,14.0,239.56664166125745,B,False
48,64,male,194.0,15.0,59.665378690373984,A,False
49,53,male,274.0,4.0,53.28474097537481,A,False
50,58,M,241.0,14.0,874.658866331385,A,False
